Fx Fz M_max M_min
-1.7 -7 0.390715 -0.280991
-1.6 -7 0.387488 -0.284218
-1.5 -7 0.384261 -0.287445
-1.4 -7 0.381034 -0.290672
-1.3 -7 0.377806 -0.293899
-1.2 -7 0.374579 -0.297127
-1.1 -7 0.371352 -0.300354
-1 -7 0.368125 -0.303581
-0.9 -7 0.364898 -0.306808
-0.8 -7 0.36167 -0.310035
-0.7 -7 0.358443 -0.313263
-0.6 -7 0.355216 -0.31649
-0.5 -7 0.351989 -0.319717
-0.4 -7 0.348762 -0.322944
-0.3 -7 0.345535 -0.326171
-0.2 -7 0.342307 -0.329399
-0.1 -7 0.33908 -0.332626
1.52933e-14 -7 0.335853 -0.335853
0.1 -7 0.332626 -0.33908
0.2 -7 0.329399 -0.342307
0.3 -7 0.326171 -0.345535
0.4 -7 0.322944 -0.348762
0.5 -7 0.319717 -0.351989
0.6 -7 0.31649 -0.355216
0.7 -7 0.313263 -0.358443
0.8 -7 0.310035 -0.36167
0.9 -7 0.306808 -0.364898
1 -7 0.303581 -0.368125
1.1 -7 0.300354 -0.371352
1.2 -7 0.297127 -0.374579
1.3 -7 0.293899 -0.377806
1.4 -7 0.290672 -0.381034
1.5 -7 0.287445 -0.384261
1.6 -7 0.284218 -0.387488
1.7 -7 0.280991 -0.390715
1.8 -7 0.277764 -0.393942
1.9 -7 0.274536 -0.39717
2 -7 0.271309 -0.400397
2.1 -7 0.268082 -0.403624
2.2 -7 0.264855 -0.406851
2.3 -7 0.261628 -0.410078
2.4 -7 0.2584 -0.413306
2.5 -7 0.255173 -0.416533
2.6 -7 0.251946 -0.41976
2.7 -7 0.248719 -0.422987
2.8 -7 0.245492 -0.426214
2.9 -7 0.242264 -0.429441
3 -7 0.125667 -0.432669
3.1 -7 0.234549 -0.435896
3.2 -7 0.230161 -0.439123
3.3 -7 0.225774 -0.44235
3.4 -7 0.221386 -0.445577
3.5 -7 0.216998 -0.448805
3.6 -7 0.21261 -0.452032
3.7 -7 0.208222 -0.455259
3.8 -7 0.203834 -0.458486
3.9 -7 0.199446 -0.461713
4 -7 0.195059 -0.464941
4.1 -7 0.190671 -0.468168
4.2 -7 0.186283 -0.471395
4.3 -7 0.181895 -0.474622
4.4 -7 0.177507 -0.477849
4.5 -7 0.173119 -0.481076
4.6 -7 0.168731 -0.484304
4.7 -7 0.164344 -0.487531
4.8 -7 0.159956 -0.490758
4.9 -7 0.155568 -0.493985
5 -7 0.15118 -0.497212
5.1 -7 0.146792 -0.50044
5.2 -7 0.142404 -0.503667
5.3 -7 0.138016 -0.506894
5.4 -7 0.133629 -0.510121
5.5 -7 0.129241 -0.513348
5.6 -7 0.124853 -0.516576
5.7 -7 0.120465 -0.519803
5.8 -7 0.116077 -0.52303
5.9 -7 0.111689 -0.526257
6 -7 0.107301 -0.529484
6.1 -7 0.102914 -0.532712
6.2 -7 0.0985257 -0.535939
6.3 -7 0.0941379 -0.539166
6.4 -7 0.08975 -0.542393
6.5 -7 0.0853621 -0.54562
6.6 -7 0.0809743 -0.548847
6.7 -7 0.0765864 -0.552075
6.8 -7 0.0721986 -0.555302
6.9 -7 0.0678107 -0.558529
7 -7 0.0634229 -0.561756
7.1 -7 0.059035 -0.564983
7.2 -7 0.0546472 -0.568211
7.3 -7 0.0502593 -0.571438
7.4 -7 0.0458714 -0.574665
7.5 -7 0.0414836 -0.577892
7.6 -7 0.0370957 -0.581119
7.7 -7 0.0327079 -0.584347
7.8 -7 0.02832 -0.587574
7.9 -7 0.0239322 -0.590801
8 -7 0.0195443 -0.594028
8.1 -7 0.0151565 -0.597255
8.2 -7 0.0107686 -0.600483
8.3 -7 0.00638074 -0.60371
8.4 -7 0.00199289 -0.606937
8.5 -7 -0.00239497 -0.610164
8.6 -7 -0.00678282 -0.613391
8.7 -7 -0.0111707 -0.616618
8.8 -7 -0.0155585 -0.619846
8.9 -7 -0.0199464 -0.623073
9 -7 -0.0243342 -0.6263
9.1 -7 -0.0287221 -0.629527
9.2 -7 -0.03311 -0.632754
9.3 -7 -0.0374978 -0.635982
9.4 -7 -0.0418857 -0.639209
9.5 -7 -0.0462735 -0.642436
9.6 -7 -0.0506614 -0.645663
9.7 -7 -0.0550492 -0.64889
9.8 -7 -0.0594371 -0.652118
9.9 -7 -0.0638249 -0.655345
10 -7 -0.0682128 -0.658572
10.1 -7 -0.0726007 -0.661799
10.2 -7 -0.0769885 -0.665026
10.3 -7 -0.0813764 -0.668253
10.4 -7 -0.0857642 -0.671481
10.5 -7 -0.0901521 -0.674708
10.6 -7 -0.0945399 -0.677935
10.7 -7 -0.0989278 -0.681162
10.8 -7 -0.103316 -0.684389
10.9 -7 -0.107703 -0.687617
11 -7 -0.112091 -0.690844
11.1 -7 -0.116479 -0.694071
11.2 -7 -0.120867 -0.697298
11.3 -7 -0.125255 -0.700525
11.4 -7 -0.129643 -0.703753
11.5 -7 -0.134031 -0.70698
11.6 -7 -0.138418 -0.710207
11.7 -7 -0.142806 -0.713434
11.8 -7 -0.147194 -0.716661
11.9 -7 -0.151582 -0.719889
12 -7 -0.15597 -0.723116
12.1 -7 -0.160358 -0.726343
12.2 -7 -0.164746 -0.72957
12.3 -7 -0.169133 -0.732797
12.4 -7 -0.173521 -0.732973
12.5 -7 -0.177909 -0.724973
12.6 -7 -0.182297 -0.716973
12.7 -7 -0.186685 -0.708973
12.8 -7 -0.191073 -0.700973
12.9 -7 -0.195461 -0.692972
13 -7 -0.199848 -0.684972
13.1 -7 -0.204236 -0.676972
13.2 -7 -0.208624 -0.668972
13.3 -7 -0.213012 -0.660971
13.4 -7 -0.2174 -0.652971
13.5 -7 -0.221788 -0.644971
13.6 -7 -0.226176 -0.636971
13.7 -7 -0.230563 -0.628971
13.8 -7 -0.234951 -0.62097
13.9 -7 -0.239339 -0.61297
14 -7 -0.243727 -0.60497
14.1 -7 -0.248115 -0.59697
14.2 -7 -0.252503 -0.58897
14.3 -7 -0.256891 -0.580969
14.4 -7 -0.261278 -0.572969
14.5 -7 -0.265666 -0.564969
14.6 -7 -0.270054 -0.556969
14.7 -7 -0.274442 -0.548968
14.8 -7 -0.27883 -0.540968
14.9 -7 -0.283218 -0.532968
15 -7 -0.287606 -0.524968
15.1 -7 -0.291993 -0.516968
15.2 -7 -0.296381 -0.508967
15.3 -7 -0.300769 -0.500967
15.4 -7 -0.305157 -0.492967
15.5 -7 -0.309545 -0.484967
15.6 -7 -0.313933 -0.476967
15.7 -7 -0.318321 -0.468966
15.8 -7 -0.322708 -0.460966
15.9 -7 -0.327096 -0.452966
16 -7 -0.331484 -0.444966
16.1 -7 -0.335872 -0.436965
16.2 -7 -0.34026 -0.428965
16.3 -7 -0.344648 -0.420965
16.4 -7 -0.349036 -0.412965
16.5 -7 -0.353423 -0.404965
16.6 -7 -0.357811 -0.396964
16.7 -7 -0.362199 -0.388964
16.8 -7 -0.366587 -0.380964
16.9 -7 -0.370975 -0.372964
17 -7 0 0
17.1 -7 0 0
17.2 -7 0 0
17.3 -7 0 0
17.4 -7 0 0
17.5 -7 0 0
17.6 -7 0 0
17.7 -7 0 0
17.8 -7 0 0
17.9 -7 0 0
18 -7 0 0
18.1 -7 0 0
18.2 -7 0 0
18.3 -7 0 0
18.4 -7 0 0
18.5 -7 0 0
18.6 -7 0 0
18.7 -7 0 0
18.8 -7 0 0
18.9 -7 0 0
19 -7 0 0
19.1 -7 0 0
19.2 -7 0 0
19.3 -7 0 0
19.4 -7 0 0
19.5 -7 0 0
19.6 -7 0 0
19.7 -7 0 0
19.8 -7 0 0
19.9 -7 0 0
-20 -6 0 0
