Fx1 Fz1 M_max M_min
-3.2 -7 0.310068 -0.33635
-3.1 -7 0.310507 -0.336825
-3 -7 0.310945 -0.337301
-2.9 -7 0.311384 -0.336811
-2.8 -7 0.311822 -0.336372
-2.7 -7 0.31226 -0.335934
-2.6 -7 0.312699 -0.335496
-2.5 -7 0.313137 -0.335057
-2.4 -7 0.313576 -0.334619
-2.3 -7 0.314014 -0.33418
-2.2 -7 0.314452 -0.333742
-2.1 -7 0.314891 -0.333304
-2 -7 0.315329 -0.332865
-1.9 -7 0.315768 -0.332427
-1.8 -7 0.316206 -0.331988
-1.7 -7 0.316644 -0.33155
-1.6 -7 0.317083 -0.331112
-1.5 -7 0.317521 -0.330673
-1.4 -7 0.31796 -0.330235
-1.3 -7 0.318398 -0.329796
-1.2 -7 0.318836 -0.329358
-1.1 -7 0.319275 -0.32892
-1 -7 0.319713 -0.328481
-0.9 -7 0.320152 -0.328043
-0.8 -7 0.32059 -0.327604
-0.7 -7 0.321028 -0.327166
-0.6 -7 0.321467 -0.326728
-0.5 -7 0.321905 -0.326289
-0.4 -7 0.322344 -0.325851
-0.3 -7 0.322782 -0.325412
-0.2 -7 0.32322 -0.324974
-0.1 -7 0.323659 -0.324536
1.52933e-14 -7 0.324097 -0.324097
0.1 -7 0.324536 -0.323659
0.2 -7 0.324974 -0.32322
0.3 -7 0.325412 -0.322782
0.4 -7 0.325851 -0.322344
0.5 -7 0.326289 -0.321905
0.6 -7 0.326728 -0.321467
0.7 -7 0.327166 -0.321028
0.8 -7 0.327604 -0.32059
0.9 -7 0.328043 -0.320152
1 -7 0.328481 -0.319713
1.1 -7 0.32892 -0.319275
1.2 -7 0.329358 -0.318836
1.3 -7 0.329796 -0.318398
1.4 -7 0.330235 -0.31796
1.5 -7 0.330673 -0.317521
1.6 -7 0.331112 -0.317083
1.7 -7 0.33155 -0.316644
1.8 -7 0.331988 -0.316206
1.9 -7 0.332427 -0.315768
2 -7 0.332865 -0.315329
2.1 -7 0.333304 -0.314891
2.2 -7 0.333742 -0.314452
2.3 -7 0.33418 -0.314014
2.4 -7 0.334619 -0.313576
2.5 -7 0.335057 -0.313137
2.6 -7 0.335496 -0.312699
2.7 -7 0.335934 -0.31226
2.8 -7 0.336372 -0.311822
2.9 -7 0.336811 -0.311384
3 -7 0.337301 -0.310945
3.1 -7 0.336825 -0.310507
3.2 -7 0.33635 -0.310068
3.3 -7 0.335874 -0.30963
3.4 -7 0.335399 -0.309192
3.5 -7 0.334923 -0.308753
3.6 -7 0.334447 -0.308315
3.7 -7 0.333972 -0.307876
3.8 -7 0.333496 -0.307438
3.9 -7 0.333021 -0.307
4 -7 0.332545 -0.306561
4.1 -7 0.33207 -0.306123
4.2 -7 0.331594 -0.305684
4.3 -7 0.331118 -0.305246
4.4 -7 0.330643 -0.304808
4.5 -7 0.330167 -0.304369
4.6 -7 0.329692 -0.303931
4.7 -7 0.329216 -0.303492
4.8 -7 0.328741 -0.303054
4.9 -7 0.328265 -0.302616
5 -7 0.32779 -0.302177
5.1 -7 0.327314 -0.301739
5.2 -7 0.326838 -0.3013
5.3 -7 0.326363 -0.300862
5.4 -7 0.325887 -0.300424
5.5 -7 0.325412 -0.299985
5.6 -7 0.324936 -0.299547
5.7 -7 0.324461 -0.299108
5.8 -7 0.323985 -0.29867
5.9 -7 0.32351 -0.298232
6 -7 0.323034 -0.297793
6.1 -7 0.322558 -0.297355
6.2 -7 0.322083 -0.296916
6.3 -7 0.321607 -0.296478
6.4 -7 0.321132 -0.29604
6.5 -7 0.320656 -0.295601
6.6 -7 0.320181 -0.295163
6.7 -7 0.319705 -0.294724
6.8 -7 0.319229 -0.294286
6.9 -7 0.318754 -0.293847
7 -7 0.318278 -0.293409
7.1 -7 0.317803 -0.292971
7.2 -7 0.317327 -0.292532
7.3 -7 0.316852 -0.292094
7.4 -7 0.316376 -0.291655
7.5 -7 0.315901 -0.291217
7.6 -7 0.315425 -0.290779
7.7 -7 0.314949 -0.29034
7.8 -7 0.314474 -0.289902
7.9 -7 0.313998 -0.289463
8 -7 0.313523 -0.289025
8.1 -7 0.313047 -0.288587
8.2 -7 0.312572 -0.288148
8.3 -7 0.312096 -0.28771
8.4 -7 0.311621 -0.287271
8.5 -7 0.311145 -0.286833
8.6 -7 0.310669 -0.286395
8.7 -7 0.310194 -0.285956
8.8 -7 0.309718 -0.285518
8.9 -7 0.309243 -0.285079
9 -7 0.308767 -0.284641
9.1 -7 0.308292 -0.284203
9.2 -7 0.307816 -0.283764
9.3 -7 0.30734 -0.283326
9.4 -7 0.306865 -0.282887
9.5 -7 0.306389 -0.282449
9.6 -7 0.305914 -0.282011
9.7 -7 0.305438 -0.281572
9.8 -7 0.304963 -0.281134
9.9 -7 0.304487 -0.280695
10 -7 0.304012 -0.280257
10.1 -7 0.303536 -0.279819
10.2 -7 0.30306 -0.27938
10.3 -7 0.302585 -0.278942
10.4 -7 0.302109 -0.278503
10.5 -7 0.301634 -0.278065
10.6 -7 0.301158 -0.277627
10.7 -7 0.300683 -0.277188
10.8 -7 0.300207 -0.27675
10.9 -7 0.299731 -0.276311
