stoptorque goal_current current velocity position Fx Fy Fz Mx My Mz counterclock Time
-0.0846899 32 7 -5 3557 -1.16545 -0.0110149 -2.69477 -0.00542939 -0.065443 0.0319585 1 10945
-0.150637 57 23 -10 3555 -0.614933 0.86248 -4.59829 0.0745473 -0.0632489 -0.0405918 1 10950
-0.00105 0 51 -11 3555 -0.0783587 -0.697138 -5.28692 0.114876 -0.112561 0.0217469 1 10954
-0.12326 47 2 -11 3556 0.867685 -0.610695 -1.57611 0.201267 -0.0206701 -0.0252871 1 10958
-0.173786 66 31 -10 3555 0.812505 0.153238 -3.67759 0.0924268 -0.0495055 -0.0266015 1 10962
-0.165889 63 64 -10 3555 0.372896 -0.0404072 -3.9303 0.116748 -0.0242001 -0.00738372 1 10966
-0.174897 67 65 -5 3556 0.1624 -0.10718 -4.56509 0.165293 -0.0650824 -0.0144787 1 10970
0 0 65 0 3559 -0.130036 0.335363 -5.29928 0.158121 -0.0830555 -0.00671466 1 10974
0.199624 -76 9 4 3560 -0.118886 0.54253 -5.61495 0.168016 -0.0953012 -0.00670971 1 10978
0.19646 -75 -81 11 3563 -0.20661 0.511288 -5.37408 0.182021 -0.099443 -0.0224473 1 10982
0.198781 -76 -75 15 3563 -0.330848 0.705721 -5.30626 0.138613 -0.0942315 -0.0143349 1 10987
0.21258 -81 -75 12 3561 -0.401459 0.352814 -5.76911 0.165326 -0.0859209 -0.00246269 1 10992
0.178376 -68 -78 5 3557 -0.109187 0.224545 -4.77389 0.143563 -0.0578007 -0.0082943 1 10997
-0.0015 0 -68 -4 3552 -0.0334759 0.382591 -4.19839 0.124306 -0.0396047 -0.00981352 1 11002
-0.140771 54 -2 -17 3548 -0.181652 -0.171328 -3.64017 0.115886 -0.0247236 0.000571951 1 11006
-0.0027 1 39 -28 3544 -0.0887642 -0.220942 -2.95755 0.0934254 0.0153741 -0.00866035 1 11010
-0.127267 48 -4 -41 3540 0.102945 -0.260014 -2.72861 0.0905142 0.021499 -0.00456837 1 11014
-0.104046 40 45 -49 3536 -0.169049 -0.277136 -2.14835 0.0877482 0.0201233 0.000148073 1 11018
-0.116619 44 39 -52 3534 -0.237836 -0.120667 -2.74266 0.0761167 0.0250918 -0.00051558 1 11022
-0.132819 51 43 -52 3532 -0.780525 -0.000461578 -4.09715 0.161661 0.0848147 0.0010207 1 11026
-0.120457 46 46 -47 3532 -0.57307 -0.41164 -3.33152 0.123289 0.085979 -0.00501955 1 11030
-0.105472 40 46 -38 3533 -0.364964 -0.389709 -2.45966 0.0716343 0.0513121 -0.000798434 1 11034
-0.0987576 37 39 -27 3534 -0.308811 -0.366953 -2.11709 0.0521197 0.0349184 0.00735149 1 11038
-0.104755 40 37 -16 3536 -0.121235 -0.344357 -2.11485 0.0563849 0.0195981 0.0010715 1 11042
-0.00375 1 36 -5 3537 0.027607 -0.471958 -2.15946 0.0680659 0.0150113 -0.0030349 1 11046
-0.0033 1 -9 5 3540 -0.0877247 -0.318466 -2.53117 0.0999504 -0.0201695 0.00190552 1 11050
0.125859 -48 8 16 3544 -0.203455 -0.316488 -2.54173 0.112392 -0.0314781 -0.00201619 1 11055
0.111226 -42 -49 25 3547 -0.140652 -0.334755 -2.03526 0.0754745 -0.0132415 -0.00780182 1 11060
0.108859 -41 -44 28 3549 -0.144159 -0.196024 -1.93562 0.083169 -0.0189532 -0.0144083 1 11065
0.100934 -38 -41 28 3549 -0.23691 -0.569357 -1.49697 0.059273 0.000570036 -0.0080259 1 11070
0.0955686 -36 -36 23 3549 -0.136808 -0.417305 -1.4112 0.068674 -0.000499666 -0.0111704 1 11075
-0.00195 0 -35 19 3549 0.0052681 -0.514925 -1.18631 0.0607898 0.00339325 -0.0128826 1 11080
-0.0021 0 -8 9 3548 0.0984478 -0.619087 -0.997023 0.0546601 0.00906801 -0.0106525 1 11085
