Fx Fz M_max M_min
19.8 -7 0 0
19.9 -7 0 0
-20 -6 0 0
-19.9 -6 0 0
-19.8 -6 0 0
-19.7 -6 0 0
-19.6 -6 0 0
-19.5 -6 0 0
-19.4 -6 0 0
-19.3 -6 0 0
-19.2 -6 0 0
-19.1 -6 0 0
-19 -6 0 0
-18.9 -6 0 0
-18.8 -6 0 0
-18.7 -6 0 0
-18.6 -6 0 0
-18.5 -6 0 0
-18.4 -6 0 0
-18.3 -6 0 0
-18.2 -6 0 0
-18.1 -6 0 0
-18 -6 0 0
-17.9 -6 0 0
-17.8 -6 0 0
-17.7 -6 0 0
-17.6 -6 0 0
-17.5 -6 0 0
-17.4 -6 0 0
-17.3 -6 0 0
-17.2 -6 0 0
-17.1 -6 0 0
-17 -6 0 0
-16.9 -6 0 0
-16.8 -6 0 0
-16.7 -6 0 0
-16.6 -6 0 0
-16.5 -6 0 0
-16.4 -6 0 0
-16.3 -6 0 0
-16.2 -6 0 0
-16.1 -6 0 0
-16 -6 0 0
-15.9 -6 0 0
-15.8 -6 0 0
-15.7 -6 0 0
-15.6 -6 0 0
-15.5 -6 0 0
-15.4 -6 0 0
-15.3 -6 0 0
-15.2 -6 0 0
-15.1 -6 0 0
-15 -6 0 0
-14.9 -6 0 0
-14.8 -6 0 0
-14.7 -6 0 0
-14.6 -6 0 0
-14.5 -6 0 0
-14.4 -6 0 0
-14.3 -6 0 0
-14.2 -6 0 0
-14.1 -6 0 0
-14 -6 0 0
-13.9 -6 0 0
-13.8 -6 0 0
-13.7 -6 0 0
-13.6 -6 0 0
-13.5 -6 0 0
-13.4 -6 0 0
-13.3 -6 0 0
-13.2 -6 0 0
-13.1 -6 0 0
-13 -6 0 0
-12.9 -6 0 0
-12.8 -6 0 0
-12.7 -6 0 0
-12.6 -6 0 0
-12.5 -6 0 0
-12.4 -6 0 0
-12.3 -6 0 0
-12.2 -6 0 0
-12.1 -6 0 0
-12 -6 0 0
-11.9 -6 0 0
-11.8 -6 0 0
-11.7 -6 0 0
-11.6 -6 0 0
-11.5 -6 0 0
-11.4 -6 0 0
-11.3 -6 0 0
-11.2 -6 0 0
-11.1 -6 0 0
-11 -6 0 0
-10.9 -6 0 0
-10.8 -6 0 0
-10.7 -6 0 0
-10.6 -6 0 0
-10.5 -6 0 0
-10.4 -6 0 0
-10.3 -6 0 0
-10.2 -6 0 0
-10.1 -6 0 0
-10 -6 0 0
-9.9 -6 0 0
-9.8 -6 0 0
-9.7 -6 0 0
-9.6 -6 0 0
-9.5 -6 0 0
-9.4 -6 0 0
-9.3 -6 0 0
-9.2 -6 0 0
-9.1 -6 0 0
-9 -6 0 0
-8.9 -6 0 0
-8.8 -6 0 0
-8.7 -6 0 0
-8.6 -6 0 0
-8.5 -6 0 0
-8.4 -6 0 0
-8.3 -6 0 0
-8.2 -6 0 0
-8.1 -6 0 0
-8 -6 0 0
-7.9 -6 0 0
-7.8 -6 0 0
-7.7 -6 0 0
-7.6 -6 0 0
-7.5 -6 0 0
-7.4 -6 0 0
-7.3 -6 0 0
-7.2 -6 0 0
-7.1 -6 0 0
-7 -6 0 0
-6.9 -6 0 0
-6.8 -6 0 0
-6.7 -6 0 0
-6.6 -6 0.0699858 0.0629963
-6.5 -6 0.0779861 0.0586085
-6.4 -6 0.0859863 0.0542206
-6.3 -6 0.0939865 0.0498328
-6.2 -6 0.101987 0.0454449
-6.1 -6 0.109987 0.041057
-6 -6 0.117987 0.0366692
-5.9 -6 0.125987 0.0322813
-5.8 -6 0.133988 0.0278935
-5.7 -6 0.141988 0.0235056
-5.6 -6 0.149988 0.0191178
-5.5 -6 0.157988 0.0147299
-5.4 -6 0.165988 0.0103421
-5.3 -6 0.173989 0.0059542
-5.2 -6 0.181989 0.00156635
-5.1 -6 0.189989 -0.00282151
-5 -6 0.197989 -0.00720937
-4.9 -6 0.205989 -0.0115972
-4.8 -6 0.21399 -0.0159851
-4.7 -6 0.22199 -0.0203729
-4.6 -6 0.22999 -0.0247608
-4.5 -6 0.23799 -0.0291486
-4.4 -6 0.245991 -0.0335365
-4.3 -6 0.253991 -0.0379244
-4.2 -6 0.261991 -0.0423122
-4.1 -6 0.269991 -0.0467001
-4 -6 0.277991 -0.0510879
-3.9 -6 0.285992 -0.0554758
-3.8 -6 0.293992 -0.0598636
-3.7 -6 0.301992 -0.0642515
-3.6 -6 0.309992 -0.0686393
-3.5 -6 0.450588 -0.0730272
-3.4 -6 0.315096 -0.0774151
-3.3 -6 0.311869 -0.0818029
-3.2 -6 0.308641 -0.0861908
-3.1 -6 0.305414 -0.0905786
-3 -6 0.302187 -0.0949665
-2.9 -6 0.29896 -0.0993543
-2.8 -6 0.295733 -0.103742
-2.7 -6 0.292505 -0.10813
-2.6 -6 0.289278 -0.112518
-2.5 -6 0.286051 -0.116906
-2.4 -6 0.282824 -0.121294
-2.3 -6 0.279597 -0.125681
-2.2 -6 0.276369 -0.130069
-2.1 -6 0.273142 -0.134457
-2 -6 0.269915 -0.138845
-1.9 -6 0.266688 -0.143233
-1.8 -6 0.263461 -0.147282
-1.7 -6 0.260234 -0.150509
-1.6 -6 0.257006 -0.153736
-1.5 -6 0.253779 -0.156963
-1.4 -6 0.250552 -0.160191
-1.3 -6 0.247325 -0.163418
-1.2 -6 0.244098 -0.166645
-1.1 -6 0.24087 -0.169872
-1 -6 0.237643 -0.173099
-0.9 -6 0.234416 -0.176327
-0.8 -6 0.231189 -0.179554
-0.7 -6 0.227962 -0.182781
-0.6 -6 0.224734 -0.186008
-0.5 -6 0.221507 -0.189235
-0.4 -6 0.21828 -0.192463
-0.3 -6 0.215053 -0.19569
-0.2 -6 0.211826 -0.198917
-0.1 -6 0.208598 -0.202144
1.52933e-14 -6 0.205371 -0.205371
0.1 -6 0.202144 -0.208598
0.2 -6 0.198917 -0.211826
0.3 -6 0.19569 -0.215053
0.4 -6 0.192463 -0.21828
0.5 -6 0.189235 -0.221507
0.6 -6 0.186008 -0.224734
0.7 -6 0.182781 -0.227962
0.8 -6 0.179554 -0.231189
0.9 -6 0.176327 -0.234416
1 -6 0.173099 -0.237643
1.1 -6 0.169872 -0.24087
1.2 -6 0.166645 -0.244098
1.3 -6 0.163418 -0.247325
1.4 -6 0.160191 -0.250552
1.5 -6 0.156963 -0.253779
1.6 -6 0.153736 -0.257006
1.7 -6 0.150509 -0.260234
1.8 -6 0.147282 -0.263461
1.9 -6 0.143233 -0.266688
2 -6 0.138845 -0.269915
2.1 -6 0.134457 -0.273142
2.2 -6 0.130069 -0.276369
2.3 -6 0.125681 -0.279597
2.4 -6 0.121294 -0.282824
2.5 -6 0.116906 -0.286051
2.6 -6 0.112518 -0.289278
2.7 -6 0.10813 -0.292505
2.8 -6 0.103742 -0.295733
2.9 -6 0.0993543 -0.29896
3 -6 0.0949665 -0.302187
3.1 -6 0.0905786 -0.305414
3.2 -6 0.0861908 -0.308641
3.3 -6 0.0818029 -0.311869
3.4 -6 0.0774151 -0.315096
3.5 -6 -0.0592378 -0.450257
3.6 -6 0.0686393 -0.309992
3.7 -6 0.0642515 -0.301992
3.8 -6 0.0598636 -0.293992
3.9 -6 0.0554758 -0.285992
4 -6 0.0510879 -0.277991
4.1 -6 0.0467001 -0.269991
4.2 -6 0.0423122 -0.261991
4.3 -6 0.0379244 -0.253991
4.4 -6 0.0335365 -0.245991
4.5 -6 0.0291486 -0.23799
4.6 -6 0.0247608 -0.22999
4.7 -6 0.0203729 -0.22199
4.8 -6 0.0159851 -0.21399
4.9 -6 0.0115972 -0.205989
5 -6 0.00720937 -0.197989
5.1 -6 0.00282151 -0.189989
5.2 -6 -0.00156635 -0.181989
5.3 -6 -0.0059542 -0.173989
5.4 -6 -0.0103421 -0.165988
5.5 -6 -0.0147299 -0.157988
5.6 -6 -0.0191178 -0.149988
5.7 -6 -0.0235056 -0.141988
5.8 -6 -0.0278935 -0.133988
5.9 -6 -0.0322813 -0.125987
6 -6 -0.0366692 -0.117987
6.1 -6 -0.041057 -0.109987
6.2 -6 -0.0454449 -0.101987
6.3 -6 -0.0498328 -0.0939865
6.4 -6 -0.0542206 -0.0859863
6.5 -6 -0.0586085 -0.0779861
6.6 -6 -0.0629963 -0.0699858
6.7 -6 0 0
6.8 -6 0 0
6.9 -6 0 0
7 -6 0 0
7.1 -6 0 0
7.2 -6 0 0
7.3 -6 0 0
7.4 -6 0 0
7.5 -6 0 0
7.6 -6 0 0
7.7 -6 0 0
7.8 -6 0 0
7.9 -6 0 0
8 -6 0 0
8.1 -6 0 0
8.2 -6 0 0
8.3 -6 0 0
8.4 -6 0 0
8.5 -6 0 0
8.6 -6 0 0
8.7 -6 0 0
8.8 -6 0 0
8.9 -6 0 0
9 -6 0 0
9.1 -6 0 0
9.2 -6 0 0
9.3 -6 0 0
9.4 -6 0 0
9.5 -6 0 0
9.6 -6 0 0
9.7 -6 0 0
9.8 -6 0 0
9.9 -6 0 0
10 -6 0 0
10.1 -6 0 0
10.2 -6 0 0
10.3 -6 0 0
10.4 -6 0 0
10.5 -6 0 0
10.6 -6 0 0
10.7 -6 0 0
10.8 -6 0 0
10.9 -6 0 0
11 -6 0 0
11.1 -6 0 0
11.2 -6 0 0
11.3 -6 0 0
